id	sentence1	label	positions
1010	LOCATION1 price 's got good rail links into LOCATION1	None	0 1 
1010	LOCATION1 safety 's got good rail links into LOCATION1	None	0 1 
1010	LOCATION1 transit location 's got good rail links into LOCATION1	Positive	0 1 2 
1011	LOCATION1 general is an up-and-coming inner-London area with easy access to London and LOCATION1	Positive	0 1 
1011	LOCATION1 price is an up-and-coming inner-London area with easy access to London and LOCATION1	None	0 1 
1011	LOCATION1 safety is an up-and-coming inner-London area with easy access to London and LOCATION1	None	0 1 
1011	LOCATION1 transit location is an up-and-coming inner-London area with easy access to London and LOCATION1	Positive	0 1 2 
1012	algate , LOCATION1 general	None	2 3 
1012	algate , LOCATION1 price	None	2 3 
1012	algate , LOCATION1 safety	None	2 3 
1012	algate , LOCATION1 transit location	None	2 3 4 
1013	Some parts of outer north and west London are in LOCATION1 general although as a county it was abolished years ago	None	10 11 
1013	Some parts of outer north and west London are in LOCATION1 price although as a county it was abolished years ago	None	10 11 
1013	Some parts of outer north and west London are in LOCATION1 safety although as a county it was abolished years ago	None	10 11 
1013	Some parts of outer north and west London are in LOCATION1 transit location although as a county it was abolished years ago	None	10 11 12 
1014	LOCATION1 general is not a very nice borough either	Negative	0 1 
1014	LOCATION1 price is not a very nice borough either	None	0 1 
1014	LOCATION1 safety is not a very nice borough either	None	0 1 
1014	LOCATION1 transit location is not a very nice borough either	None	0 1 2 
1015	LOCATION1 general is a bit like LOCATION2 , or I guess most other London suburbs	None	0 1 
1015	LOCATION1 price is a bit like LOCATION2 , or I guess most other London suburbs	None	0 1 
1015	LOCATION1 safety is a bit like LOCATION2 , or I guess most other London suburbs	None	0 1 
1015	LOCATION1 transit location is a bit like LOCATION2 , or I guess most other London suburbs	None	0 1 2 
1016	because LOCATION1 general has no busses running through it , it feels nicely tucked away	None	1 2 
1016	because LOCATION1 price has no busses running through it , it feels nicely tucked away	None	1 2 
1016	because LOCATION1 safety has no busses running through it , it feels nicely tucked away	None	1 2 
1016	because LOCATION1 transit location has no busses running through it , it feels nicely tucked away	Negative	1 2 3 
1017	We actually went from LOCATION1 general	None	4 5 
1017	We actually went from LOCATION1 price	None	4 5 
1017	We actually went from LOCATION1 safety	None	4 5 
1017	We actually went from LOCATION1 transit location	None	4 5 6 
1018	just keep your wits about you , bad people are everywhere I think you 'll find LOCATION1 general has a lot more crimes than LOCATION2	None	16 17 
1018	just keep your wits about you , bad people are everywhere I think you 'll find LOCATION1 price has a lot more crimes than LOCATION2	None	16 17 
1018	just keep your wits about you , bad people are everywhere I think you 'll find LOCATION1 safety has a lot more crimes than LOCATION2	Negative	16 17 
1018	just keep your wits about you , bad people are everywhere I think you 'll find LOCATION1 transit location has a lot more crimes than LOCATION2	None	16 17 18 
1019	LOCATION1 general has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 1 
1019	LOCATION1 price has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 1 
1019	LOCATION1 safety has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 1 
1019	LOCATION1 transit location has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 1 2 
101	LOCATION1 general is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 1 
101	LOCATION1 price is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 1 
101	LOCATION1 safety is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 1 
101	LOCATION1 transit location is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 1 2 
1020	But LOCATION1 general is one big dump I do n't know where you got that information from , but it 's not true	Negative	1 2 
1020	But LOCATION1 price is one big dump I do n't know where you got that information from , but it 's not true	None	1 2 
1020	But LOCATION1 safety is one big dump I do n't know where you got that information from , but it 's not true	None	1 2 
1020	But LOCATION1 transit location is one big dump I do n't know where you got that information from , but it 's not true	None	1 2 3 
1021	For Baker St try LOCATION1 general a borough north of Baker St Cheaper and easier to get to and from	None	4 5 
1021	For Baker St try LOCATION1 price a borough north of Baker St Cheaper and easier to get to and from	Positive	4 5 
1021	For Baker St try LOCATION1 safety a borough north of Baker St Cheaper and easier to get to and from	None	4 5 
1021	For Baker St try LOCATION1 transit location a borough north of Baker St Cheaper and easier to get to and from	Positive	4 5 6 
1022	LOCATION1 general is quite open , green and well kept	Positive	0 1 
1022	LOCATION1 price is quite open , green and well kept	None	0 1 
1022	LOCATION1 safety is quite open , green and well kept	None	0 1 
1022	LOCATION1 transit location is quite open , green and well kept	None	0 1 2 
1023	I 'd certainly prefer LOCATION1 general to LOCATION1	Positive	4 5 
1023	I 'd certainly prefer LOCATION1 price to LOCATION1	None	4 5 
1023	I 'd certainly prefer LOCATION1 safety to LOCATION1	None	4 5 
1023	I 'd certainly prefer LOCATION1 transit location to LOCATION1	None	4 5 6 
1024	LOCATION1 general is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	Negative	0 1 
1024	LOCATION1 price is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	None	0 1 
1024	LOCATION1 safety is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	Negative	0 1 
1024	LOCATION1 transit location is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	None	0 1 2 
1025	LOCATION1 general a generally a very safe area so there is no need to be scared of travelling alone	None	0 1 
1025	LOCATION1 price a generally a very safe area so there is no need to be scared of travelling alone	None	0 1 
1025	LOCATION1 safety a generally a very safe area so there is no need to be scared of travelling alone	Positive	0 1 
1025	LOCATION1 transit location a generally a very safe area so there is no need to be scared of travelling alone	None	0 1 2 
1026	I live in London , i hope you realise that LOCATION1 general is one of the most run down areas of London and it is home to the most notorious estate in the UK	Negative	10 11 
1026	I live in London , i hope you realise that LOCATION1 price is one of the most run down areas of London and it is home to the most notorious estate in the UK	None	10 11 
1026	I live in London , i hope you realise that LOCATION1 safety is one of the most run down areas of London and it is home to the most notorious estate in the UK	None	10 11 
1026	I live in London , i hope you realise that LOCATION1 transit location is one of the most run down areas of London and it is home to the most notorious estate in the UK	None	10 11 12 
1027	Although the area has a lacklustre reputation , the housing stock around LOCATION1 general is not cheap at all	Negative	12 13 
1027	Although the area has a lacklustre reputation , the housing stock around LOCATION1 price is not cheap at all	Negative	12 13 
1027	Although the area has a lacklustre reputation , the housing stock around LOCATION1 safety is not cheap at all	None	12 13 
1027	Although the area has a lacklustre reputation , the housing stock around LOCATION1 transit location is not cheap at all	None	12 13 14 
1028	I agree LOCATION1 general is a little better and easy to commute to LOCATION1	None	2 3 
1028	I agree LOCATION1 price is a little better and easy to commute to LOCATION1	None	2 3 
1028	I agree LOCATION1 safety is a little better and easy to commute to LOCATION1	None	2 3 
1028	I agree LOCATION1 transit location is a little better and easy to commute to LOCATION1	Positive	2 3 4 
1029	LOCATION1 general is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	Negative	0 1 
1029	LOCATION1 price is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	Positive	0 1 
1029	LOCATION1 safety is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	None	0 1 
1029	LOCATION1 transit location is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	None	0 1 2 
102	LOCATION1 general station is about a ten minute train ride from the main station at LOCATION1	None	0 1 
102	LOCATION1 price station is about a ten minute train ride from the main station at LOCATION1	None	0 1 
102	LOCATION1 safety station is about a ten minute train ride from the main station at LOCATION1	None	0 1 
102	LOCATION1 transit location station is about a ten minute train ride from the main station at LOCATION1	Positive	0 1 2 
1030	LOCATION1 general is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	Negative	0 1 
1030	LOCATION1 price is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	None	0 1 
1030	LOCATION1 safety is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	None	0 1 
1030	LOCATION1 transit location is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	None	0 1 2 
1031	I now live in LOCATION1 general with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 5 
1031	I now live in LOCATION1 price with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 5 
1031	I now live in LOCATION1 safety with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 5 
1031	I now live in LOCATION1 transit location with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 5 6 
1032	I used to live in LOCATION1 general a few years ago	None	5 6 
1032	I used to live in LOCATION1 price a few years ago	None	5 6 
1032	I used to live in LOCATION1 safety a few years ago	None	5 6 
1032	I used to live in LOCATION1 transit location a few years ago	None	5 6 7 
1033	LOCATION1 general is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	Positive	0 1 
1033	LOCATION1 price is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	None	0 1 
1033	LOCATION1 safety is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	None	0 1 
1033	LOCATION1 transit location is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	None	0 1 2 
1034	I love it around LOCATION1 general	Positive	4 5 
1034	I love it around LOCATION1 price	None	4 5 
1034	I love it around LOCATION1 safety	None	4 5 
1034	I love it around LOCATION1 transit location	None	4 5 6 
1035	Around LOCATION1 general is probably the best choice	Positive	1 2 
1035	Around LOCATION1 price is probably the best choice	None	1 2 
1035	Around LOCATION1 safety is probably the best choice	None	1 2 
1035	Around LOCATION1 transit location is probably the best choice	None	1 2 3 
1036	LOCATION1 general is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	Positive	0 1 
1036	LOCATION1 price is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	None	0 1 
1036	LOCATION1 safety is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	Positive	0 1 
1036	LOCATION1 transit location is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	Positive	0 1 2 
1037	Yes LOCATION1 general is okay	Positive	1 2 
1037	Yes LOCATION1 price is okay	None	1 2 
1037	Yes LOCATION1 safety is okay	None	1 2 
1037	Yes LOCATION1 transit location is okay	None	1 2 3 
1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg LOCATION1 general ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 78 
1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg LOCATION1 price ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 78 
1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg LOCATION1 safety ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 78 
1038	Have a look at this link and you 'll see what I 'm talking about : Most younger people like to live nearer the London , so in Zones 2 or 3 . If you live in a not so nice area of Zone 2 ( eg LOCATION2 ) you could rent a decent 2 bed for around 900 per month , but if you wanted to live in a good area of Zone 2 ( eg LOCATION1 transit location ) you 'd probably be paying double that at least Have a look at websites such as gumtree	None	77 78 79 
1039	May I suggest you look at LOCATION1 general	Positive	6 7 
1039	May I suggest you look at LOCATION1 price	None	6 7 
1039	May I suggest you look at LOCATION1 safety	None	6 7 
1039	May I suggest you look at LOCATION1 transit location	None	6 7 8 
103	My husband was born and educated in LOCATION1 general - I was n't born there , but moved out of London and received my secondary ed	None	7 8 
103	My husband was born and educated in LOCATION1 price - I was n't born there , but moved out of London and received my secondary ed	None	7 8 
103	My husband was born and educated in LOCATION1 safety - I was n't born there , but moved out of London and received my secondary ed	None	7 8 
103	My husband was born and educated in LOCATION1 transit location - I was n't born there , but moved out of London and received my secondary ed	None	7 8 9 
1040	I 'm in touch with a very nice family , but they live in LOCATION1 general and this is the zone 4 of the London	None	14 15 
1040	I 'm in touch with a very nice family , but they live in LOCATION1 price and this is the zone 4 of the London	None	14 15 
1040	I 'm in touch with a very nice family , but they live in LOCATION1 safety and this is the zone 4 of the London	None	14 15 
1040	I 'm in touch with a very nice family , but they live in LOCATION1 transit location and this is the zone 4 of the London	None	14 15 16 
1041	I ca n't imagine that someone in e g LOCATION1 general would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 10 
1041	I ca n't imagine that someone in e g LOCATION1 price would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 10 
1041	I ca n't imagine that someone in e g LOCATION1 safety would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 10 
1041	I ca n't imagine that someone in e g LOCATION1 transit location would think it worthwhile to go all the way to e g LOCATION2 to swim	None	9 10 11 
1042	LOCATION1 general is quite a long way out and is expensive	None	0 1 
1042	LOCATION1 price is quite a long way out and is expensive	Negative	0 1 
1042	LOCATION1 safety is quite a long way out and is expensive	None	0 1 
1042	LOCATION1 transit location is quite a long way out and is expensive	Negative	0 1 2 
1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 general instead	None	21 22 
1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 price instead	None	21 22 
1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 safety instead	None	21 22 
1043	You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 transit location instead	None	21 22 23 
1044	For example ; I live in LOCATION1 general but I always say LOCATION2	None	6 7 
1044	For example ; I live in LOCATION1 price but I always say LOCATION2	None	6 7 
1044	For example ; I live in LOCATION1 safety but I always say LOCATION2	None	6 7 
1044	For example ; I live in LOCATION1 transit location but I always say LOCATION2	None	6 7 8 
1045	If you go by tube then West LOCATION1 general is nice	Positive	7 8 
1045	If you go by tube then West LOCATION1 price is nice	None	7 8 
1045	If you go by tube then West LOCATION1 safety is nice	None	7 8 
1045	If you go by tube then West LOCATION1 transit location is nice	None	7 8 9 
1046	On the Kent side there is LOCATION1 general	None	6 7 
1046	On the Kent side there is LOCATION1 price	None	6 7 
1046	On the Kent side there is LOCATION1 safety	None	6 7 
1046	On the Kent side there is LOCATION1 transit location	None	6 7 8 
1047	Its London : London , borough : LOCATION1 general , area : LOCATION2	None	7 8 
1047	Its London : London , borough : LOCATION1 price , area : LOCATION2	None	7 8 
1047	Its London : London , borough : LOCATION1 safety , area : LOCATION2	None	7 8 
1047	Its London : London , borough : LOCATION1 transit location , area : LOCATION2	None	7 8 9 
1048	Do n't even think about driving If working in LOCATION1 general	None	9 10 
1048	Do n't even think about driving If working in LOCATION1 price	None	9 10 
1048	Do n't even think about driving If working in LOCATION1 safety	None	9 10 
1048	Do n't even think about driving If working in LOCATION1 transit location	Negative	9 10 11 
1049	LOCATION1 general is the place for you	Positive	0 1 
1049	LOCATION1 price is the place for you	None	0 1 
1049	LOCATION1 safety is the place for you	None	0 1 
1049	LOCATION1 transit location is the place for you	None	0 1 2 
104	LOCATION1 general is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 1 
104	LOCATION1 price is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 1 
104	LOCATION1 safety is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	None	0 1 
104	LOCATION1 transit location is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1	Positive	0 1 2 
1050	At the heart of London is LOCATION1 general area which is in accessible proximity to Buckingham Palace	None	6 7 
1050	At the heart of London is LOCATION1 price area which is in accessible proximity to Buckingham Palace	None	6 7 
1050	At the heart of London is LOCATION1 safety area which is in accessible proximity to Buckingham Palace	None	6 7 
1050	At the heart of London is LOCATION1 transit location area which is in accessible proximity to Buckingham Palace	Positive	6 7 8 
1051	( highly recommended ) LOCATION1 general	Positive	4 5 
1051	( highly recommended ) LOCATION1 price	None	4 5 
1051	( highly recommended ) LOCATION1 safety	None	4 5 
1051	( highly recommended ) LOCATION1 transit location	None	4 5 6 
1052	In LOCATION2 LOCATION1 general has some nice streets	Positive	2 3 
1052	In LOCATION2 LOCATION1 price has some nice streets	None	2 3 
1052	In LOCATION2 LOCATION1 safety has some nice streets	None	2 3 
1052	In LOCATION2 LOCATION1 transit location has some nice streets	None	2 3 4 
1053	I lived in LOCATION1 general for years and years and had no bother	None	3 4 
1053	I lived in LOCATION1 price for years and years and had no bother	None	3 4 
1053	I lived in LOCATION1 safety for years and years and had no bother	Positive	3 4 
1053	I lived in LOCATION1 transit location for years and years and had no bother	None	3 4 5 
1054	For example , LOCATION1 general does n't have a cinema ( it used to , a long time ago	None	3 4 
1054	For example , LOCATION1 price does n't have a cinema ( it used to , a long time ago	None	3 4 
1054	For example , LOCATION1 safety does n't have a cinema ( it used to , a long time ago	None	3 4 
1054	For example , LOCATION1 transit location does n't have a cinema ( it used to , a long time ago	None	3 4 5 
1055	LOCATION1 general is the posh part of LOCATION2 but it still has some horrible estates too	None	0 1 
1055	LOCATION1 price is the posh part of LOCATION2 but it still has some horrible estates too	None	0 1 
1055	LOCATION1 safety is the posh part of LOCATION2 but it still has some horrible estates too	None	0 1 
1055	LOCATION1 transit location is the posh part of LOCATION2 but it still has some horrible estates too	None	0 1 2 
1056	Paul O ' Grady has put LOCATION1 general Dog 's Home on the map Go to Champdogs	None	6 7 
1056	Paul O ' Grady has put LOCATION1 price Dog 's Home on the map Go to Champdogs	None	6 7 
1056	Paul O ' Grady has put LOCATION1 safety Dog 's Home on the map Go to Champdogs	None	6 7 
1056	Paul O ' Grady has put LOCATION1 transit location Dog 's Home on the map Go to Champdogs	None	6 7 8 
1057	If you want slightly nicer look at homes in LOCATION1 general	Positive	9 10 
1057	If you want slightly nicer look at homes in LOCATION1 price	None	9 10 
1057	If you want slightly nicer look at homes in LOCATION1 safety	None	9 10 
1057	If you want slightly nicer look at homes in LOCATION1 transit location	None	9 10 11 
1058	The area around LOCATION2 is well served by the Jubilee Line which takes you directly to Bond Street ( near LOCATION1 general )	None	20 21 
1058	The area around LOCATION2 is well served by the Jubilee Line which takes you directly to Bond Street ( near LOCATION1 price )	None	20 21 
1058	The area around LOCATION2 is well served by the Jubilee Line which takes you directly to Bond Street ( near LOCATION1 safety )	None	20 21 
1058	The area around LOCATION2 is well served by the Jubilee Line which takes you directly to Bond Street ( near LOCATION1 transit location )	None	20 21 22 
1059	LOCATION1 general is full of BNP and jobless people	Negative	0 1 
1059	LOCATION1 price is full of BNP and jobless people	None	0 1 
1059	LOCATION1 safety is full of BNP and jobless people	None	0 1 
1059	LOCATION1 transit location is full of BNP and jobless people	None	0 1 2 
105	I 'm only too glad my parents ( cockneys of the first order ) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1 general	None	30 31 
105	I 'm only too glad my parents ( cockneys of the first order ) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1 price	None	30 31 
105	I 'm only too glad my parents ( cockneys of the first order ) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1 safety	None	30 31 
105	I 'm only too glad my parents ( cockneys of the first order ) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1 transit location	None	30 31 32 
1060	LOCATION1 general has connections to Gatwick and Luton Airports , and lots of cool places that you might want to visit like Brighton	None	0 1 
1060	LOCATION1 price has connections to Gatwick and Luton Airports , and lots of cool places that you might want to visit like Brighton	None	0 1 
1060	LOCATION1 safety has connections to Gatwick and Luton Airports , and lots of cool places that you might want to visit like Brighton	None	0 1 
1060	LOCATION1 transit location has connections to Gatwick and Luton Airports , and lots of cool places that you might want to visit like Brighton	Positive	0 1 2 
1061	I used to live on LOCATION1 general Road and to be honest it was the nicest , most fun place ever	Positive	5 6 
1061	I used to live on LOCATION1 price Road and to be honest it was the nicest , most fun place ever	None	5 6 
1061	I used to live on LOCATION1 safety Road and to be honest it was the nicest , most fun place ever	None	5 6 
1061	I used to live on LOCATION1 transit location Road and to be honest it was the nicest , most fun place ever	None	5 6 7 
1062	They are very different so it depends on what you think is better LOCATION1 general area is very green with lots of families	None	13 14 
1062	They are very different so it depends on what you think is better LOCATION1 price area is very green with lots of families	None	13 14 
1062	They are very different so it depends on what you think is better LOCATION1 safety area is very green with lots of families	None	13 14 
1062	They are very different so it depends on what you think is better LOCATION1 transit location area is very green with lots of families	None	13 14 15 
1063	I 've heard LOCATION1 general is safe from a police officer but I have no idea how expensive it is	None	3 4 
1063	I 've heard LOCATION1 price is safe from a police officer but I have no idea how expensive it is	None	3 4 
1063	I 've heard LOCATION1 safety is safe from a police officer but I have no idea how expensive it is	Positive	3 4 
1063	I 've heard LOCATION1 transit location is safe from a police officer but I have no idea how expensive it is	None	3 4 5 
1064	I would say LOCATION1 general , but being one of the nicer areas from your list the housing will be really expensive	Positive	3 4 
1064	I would say LOCATION1 price , but being one of the nicer areas from your list the housing will be really expensive	Negative	3 4 
1064	I would say LOCATION1 safety , but being one of the nicer areas from your list the housing will be really expensive	None	3 4 
1064	I would say LOCATION1 transit location , but being one of the nicer areas from your list the housing will be really expensive	None	3 4 5 
1065	LOCATION1 general : )	None	0 1 
1065	LOCATION1 price : )	None	0 1 
1065	LOCATION1 safety : )	None	0 1 
1065	LOCATION1 transit location : )	None	0 1 2 
1066	LOCATION1 general is gorgeous and has the blend of uber rich and middle class , v	Positive	0 1 
1066	LOCATION1 price is gorgeous and has the blend of uber rich and middle class , v	Negative	0 1 
1066	LOCATION1 safety is gorgeous and has the blend of uber rich and middle class , v	None	0 1 
1066	LOCATION1 transit location is gorgeous and has the blend of uber rich and middle class , v	None	0 1 2 
1067	Contrary to my advice , if you do go there , do n't move to LOCATION1 general	None	15 16 
1067	Contrary to my advice , if you do go there , do n't move to LOCATION1 price	None	15 16 
1067	Contrary to my advice , if you do go there , do n't move to LOCATION1 safety	None	15 16 
1067	Contrary to my advice , if you do go there , do n't move to LOCATION1 transit location	None	15 16 17 
1068	The absolute cheapest part of London to live in is the LOCATION1 general area	None	11 12 
1068	The absolute cheapest part of London to live in is the LOCATION1 price area	Positive	11 12 
1068	The absolute cheapest part of London to live in is the LOCATION1 safety area	None	11 12 
1068	The absolute cheapest part of London to live in is the LOCATION1 transit location area	None	11 12 13 
1069	LOCATION1 general Village near the common is far nicer if you can afford it	Positive	0 1 
1069	LOCATION1 price Village near the common is far nicer if you can afford it	Negative	0 1 
1069	LOCATION1 safety Village near the common is far nicer if you can afford it	None	0 1 
1069	LOCATION1 transit location Village near the common is far nicer if you can afford it	None	0 1 2 
106	I come from south London and really want to no why so many people think cockneys only come from LOCATION1 general	None	19 20 
